xMercuryAtSun,yMercuryAtSun,xVenusAtSun,yVenusAtSun,xEarthAtSun,yEarthAtSun,xMarsAtSun,yMarsAtSun,xMoonAtEarth,yMoonAtEarth,xPhobosAtMars,yPhobosAtMars,xDeimosAtMars,yDeimosAtMars
27625636,37621922,-106656091,13252577,149901637,6115248,-152356561,193320138,-14273,369264,5755,7049,20892,-609
23267662,40094892,-107003260,10231732,149734011,8676257,-153917138,192196473,-103958,352885,-801,9381,4117,-22725
18678933,42169945,-107265521,7202769,149522345,11234973,-155467517,191060073,-187483,315388,-6846,5478,-18744,-11259
13902328,43820612,-107442702,4168093,149266603,13790618,-157007608,189911028,-259805,258808,-8391,-2021,-13940,16829
8984741,45026765,-107534695,1130112,148966770,16342396,-158537320,188749427,-316548,186487,-4340,-8148,11444,20076
3975842,45775360,-107541462,-1908763,148622857,18889500,-160056561,187575361,-354375,102836,2674,-8645,19914,-6325
-1073344,46060858,-107463036,-4946127,148234904,21431114,-161565244,186388920,-371277,12974,7780,-3029,-1038,-23383
-6111902,45885269,-107299516,-7979575,147802980,23966417,-163063280,185190194,-366703,-77717,7361,4750,-20466,-5890
-11090436,45257850,-107051068,-11006706,147327186,26494594,-164550580,183979275,-341512,-164050,1814,9258,-9682,20295
-15962344,44194476,-106717928,-14025130,146807650,29014836,-166027058,182756256,-297776,-241413,-4979,7549,15392,16526
-20684844,42716765,-106300399,-17032463,146244526,31526345,-167492626,181521227,-238484,-306023,-8502,866,17720,-11657
-25219739,40851050,-105798852,-20026334,145637984,34028338,-168947200,180274282,-167222,-355044,-6404,-6372,-6132,-22613
-29533891,38627269,-105213722,-23004383,144988216,36520042,-170390695,179015514,-87891,-386592,21,-9262,-20939,-166
-33599428,36077874,-104545513,-25964268,144295424,39000697,-171823025,177745016,-4487,-399676,6407,-5660,-4831,22525
-37393710,33236812,-103794794,-28903661,143559825,41469558,-173244107,176462882,79046,-394103,8230,1968,18402,11967
-40899112,30138623,-102962199,-31820254,142781647,43925886,-174653859,175169206,158920,-370396,4260,8239,14444,-16273
-44102674,26817680,-102048426,-34711759,141961126,46368956,-176052198,173864083,231562,-329731,-2641,8909,-10857,-20462
-46995652,23307587,-101054237,-37575910,141098511,48798051,-177439042,172547608,293668,-273900,-7810,3671,-20136,5564
-49573043,19640711,-99980458,-40410467,140194057,51212466,-178814311,171219877,342276,-205293,-7841,-3975,313,23380
-51833077,15847860,-98827975,-43213213,139248030,53611504,-180177925,169880985,374853,-126887,-2631,-8935,20290,6675
-53776745,11958062,-97597739,-45981960,138260698,55994480,-181529803,168531028,389420,-42225,4370,-7704,10289,-19892
-55407336,7998450,-96290758,-48714551,137232337,58360718,-182869868,167170103,384714,44648,8261,-1017,-14921,-17061
-56730036,3994211,-94908102,-51408856,136163223,60709551,-184198042,165798307,360357,129311,6292,6406,-18105,10958
-57751553,-31396,-93450897,-54062781,135053634,63040316,-185514246,164415737,317013,207160,-49,9423,5437,22808
-58479809,-4056995,-91920330,-56674264,133903844,65352356,-186818405,163022491,256489,273699,-6384,6129,20939,972
-58923659,-8063001,-90317641,-59241280,132714128,67645012,-188110442,161618668,181741,324869,-8524,-1199,5506,-22297
-59092668,-12031525,-88644127,-61761841,131484762,69917619,-189390281,160204365,96755,357392,-5018,-7714,-18072,-12621
-58996914,-15946258,-86901141,-64233997,130216022,72169506,-190657850,158779681,6306,369070,1883,-8951,-14968,15688
-58646838,-19792358,-85090086,-66655840,128908194,74399990,-191913072,157344716,-84365,358993,7439,-3900,10225,20847
-58053108,-23556328,-83212418,-69025501,127561573,76608377,-193155876,155899568,-169939,327632,7699,3928,20309,-4789
-57226528,-27225906,-81269643,-71341156,126176473,78793962,-194386188,154444339,-245398,276811,2551,9029,384,-23342
-56177948,-30789953,-79263319,-73601024,124753225,80956033,-195603938,152979128,-306380,209571,-4357,8010,-20119,-7416
-54918209,-34238347,-77195048,-75803372,123292185,83093870,-196809052,151504035,-349472,129940,-8399,1688,-10915,19463
-53458095,-37561894,-75066481,-77946511,121793738,85206752,-198001462,150019162,-372430,42641,-6911,-5736,14391,17614
-51808298,-40752232,-72879313,-80028801,120258293,87293959,-199181097,148524611,-374298,-47255,-792,-9282,18440,-10255
-49979399,-43801754,-70635284,-82048652,118686288,89354780,-200347888,147020482,-355422,-134697,5847,-6379,-4765,-22962
-47981849,-46703532,-68336175,-84004523,117078189,91388515,-201501766,145506877,-317350,-214986,8325,1046,-20939,-1759
-45825965,-49451251,-65983809,-85894927,115434485,93394478,-202642665,143983899,-262643,-284061,4907,7751,-6199,22049
-43521926,-52039150,-63580048,-87718427,113755684,95372002,-203770515,142451651,-194619,-338693,-1916,9134,17683,13302
-41079780,-54461965,-61126791,-89473639,112042315,97320437,-204885252,140910236,-117078,-376579,-7484,4416,15446,-15091
-38509449,-56714883,-58625973,-91159237,110294919,99239154,-205986810,139359756,-34050,-396342,-8134,-3206,-9624,-21181
-35820737,-58793500,-56079566,-92773946,108514049,101127543,-207075123,137800316,50412,-397486,-3386,-8678,-20483,4008
-33023347,-60693781,-53489574,-94316551,106700268,102985012,-208150126,136232019,132387,-380299,3651,-8197,-1109,23288
-30126895,-62412031,-50858030,-95785891,104854146,104810984,-209211757,134654970,208185,-345768,8095,-1945,19896,8175
-27140924,-63944864,-48187001,-97180865,102976262,106604902,-210259952,133069274,274411,-295508,6779,5697,11509,-19007
-24074925,-65289178,-45478579,-98500428,101067200,108366222,-211294648,131475035,328025,-231702,711,9383,-13893,-18108
-20938359,-66442138,-42734885,-99743597,99127551,110094417,-212315784,129872359,366392,-157082,-5866,6729,-18778,9534
-17740669,-67401158,-39958063,-100909446,97157909,111788977,-213323299,128261351,387366,-74904,-8584,-373,4047,23108
-14491311,-68163886,-37150282,-101997111,95158872,113449406,-214317133,126642117,389406,11067,-5643,-7218,20893,2551
-11199772,-68728199,-34313731,-103005790,93131039,115075225,-215297225,125014764,371728,96625,1083,-9172,6865,-21765
-7875593,-69092190,-31450619,-103934739,91075007,116665969,-216263517,123379398,334486,177236,7028,-4736,-17312,-13933
-4528396,-69254175,-28563176,-104783278,88991370,118221182,-217215950,121736125,278950,248262,7969,3061,-15926,14480
-1167903,-69212684,-25653644,-105550790,86880715,119740420,-218154467,120085054,207616,305273,3275,8718,8960,21518
2196030,-68966472,-22724284,-106236718,84743627,121223240,-219079010,118426292,124198,344455,-3694,8407,20613,-3222
